Shiroko＊Terror\Title.wav|ブルーアーカイブ。
Shiroko＊Terror\Formation_Select.wav|どうかしたの……？
Shiroko＊Terror\Tactic_Defeat_1.wav|鈍ったかな……。
Shiroko＊Terror\Tactic_Defeat_2.wav|大丈夫……、また挑戦しよう。
Shiroko＊Terror\Tactic_In_1.wav|敵を発見、指示をお願い。
Shiroko＊Terror\Tactic_In_2.wav|撃ってもいい？
Shiroko＊Terror\Tactic_Victory_1.wav|ん、想定通り。
Shiroko＊Terror\Tactic_Victory_2.wav|先生がいるんだもの。当然の結果。
Shiroko＊Terror\Battle_Buffed_1.wav|ありがとう。
Shiroko＊Terror\Battle_BuffSelf_1.wav|ん……、一人でもできる。
Shiroko＊Terror\Battle_Defense_1.wav|くすぐったい。
Shiroko＊Terror\Battle_In_1.wav|ん、先頭に立つ。
Shiroko＊Terror\Battle_In_2.wav|ん、付いてきて。
Shiroko＊Terror\Battle_Move_1.wav|次はどこ？
Shiroko＊Terror\Battle_Move_2.wav|自転車、持ってくればよかった……
Shiroko＊Terror\Battle_Recovery_1.wav|ありがとう。
Shiroko＊Terror\Battle_Retire.wav|まだ、足りないのに。
Shiroko＊Terror\Battle_TacticalAction_1.wav|移動する。
Shiroko＊Terror\Battle_Victory_1.wav|ん、もう安心して。
Shiroko＊Terror\Battle_Victory_2.wav|お疲れ様。
Shiroko＊Terror\CommonSkill.wav|これを出す時が来たね。
Shiroko＊Terror\ExSkill_1.wav|これは……ありがとう。
Shiroko＊Terror\ExSkill_2.wav|先生？……ん、分かった。
Shiroko＊Terror\ExSkill_3.wav|私に……？いいよ、任せて。
Shiroko＊Terror\ExSkill_Level_10.wav|ん、手に馴染む。
Shiroko＊Terror\ExSkill_Level_11.wav|目標は前方。
Shiroko＊Terror\ExSkill_Level_12.wav|火力支援、始める。
Shiroko＊Terror\ExSkill_Level_2.wav|本気でいくよ。
Shiroko＊Terror\ExSkill_Level_3.wav|手加減しない。
Shiroko＊Terror\ExSkill_Level_4.wav|また……、強くなった。
Shiroko＊Terror\ExSkill_Level_5.wav|これも耐えられる。
Shiroko＊Terror\ExSkill_Level_6.wav|体が軽くなった感じ。
Shiroko＊Terror\ExSkill_Level_7.wav|見せてあげる。
Shiroko＊Terror\ExSkill_Level_8.wav|ん、もう少し頑張る。
Shiroko＊Terror\Growup_1.wav|私にくれるの？大切にするね。
Shiroko＊Terror\Growup_2.wav|ん、大きくなったかも……。身長のことだよ。
Shiroko＊Terror\Growup_3.wav|これは……ん、たしかに受け取った。役に立てるよう努力する。
Shiroko＊Terror\Growup_4.wav|ありがとう、先生。これからも……よろしく。
Shiroko＊Terror\Relationship_Up_1.wav|先生、肩……貸して。
Shiroko＊Terror\Relationship_Up_2.wav|先生を手伝うことができて、良かった。
Shiroko＊Terror\Relationship_Up_3.wav|えっと……どんな風に聞こえてしまうか分からないけど、その……先生と一緒にいると、なんだか落ち着く。
Shiroko＊Terror\Relationship_Up_4.wav|まだ知らないこと、たくさんあるから……ん、先生が色々教えて。
